,,"Продажа автомобилей ""MB Motors""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""MB Motors""
				ул. ХаГистадрут 33, Хайфа								Тел. 04-6211151, 052-3257457http://mbmotorscar.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
mailto:yasin_w@netvision.net.il,yasin_w@netvision.net.il,"Адвокат-нотариус Ясин Висам","Адвокаты, нотариусы (75) ","
				Адвокат-нотариус Ясин Висам
				ул. ХаАцмаут 59, Кирьят Ата								Тел. 04-8448639, 04-8435266				Факс. 04-8438915yasin_w@netvision.net.il",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/2
mailto:adv.slava@gmail.com,adv.slava@gmail.com,"Адвокат в Хайфе Вячеслав Пикус","Адвокаты, нотариусы (75) ","
				Адвокат в Хайфе Вячеслав Пикус
				ул. ХаМегеним 44, Хайфа								Тел. 04-8538860, 052-3243722				Факс. 04–8538860adv.slava@gmail.comhttp://adv-pikus.co.il",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/2
mailto:72ilina@walla.co.il,72ilina@walla.co.il,"Адвокат-нотариус Илина Циперсон-Ясловиц","Адвокаты, нотариусы (75) ","
				Адвокат-нотариус Илина Циперсон-Ясловиц
				ул. ХаАцмацут 43, Хайфа				(5 эт.)				Тел. 052-3404848, 054-5983937				Факс. 04-864096472ilina@walla.co.il",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/2
mailto:allanem2001@yahoo.com,allanem2001@yahoo.com,"Адвокат-нотариус в Холоне Алла Немировская","Адвокаты, нотариусы (75) ","
				Адвокат-нотариус в Холоне Алла Немировская
				ул. Профессор Шор 45/15, Холон				(4-й этаж)				Тел. 03-5581911, 052-2217749 				Факс. 03-5581911allanem2001@yahoo.comhttp://advocatnemirovsky.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/2
,,"Адвокат Валерия Коэн","Адвокаты, нотариусы (75) ","
				Адвокат Валерия Коэн
				ул. Звулун 3, Кирьят-Ата								Тел. 054-9738446				Факс. 077-5060420https://facebook.com/valeria.cohen.7",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/3
mailto:efraimlaw@gmail.com,efraimlaw@gmail.com,"Адвокат в Беэр-Шеве Эфраим Танхиль","Адвокаты, нотариусы (75) ","
				Адвокат в Беэр-Шеве Эфраим Танхиль
				ул. Герцль 28, Беэр-Шева								Тел. 08-6272944, 08-6272955, 08-6272966				Факс. 08-6272988 efraimlaw@gmail.comhttp://efraimlaw.co.il",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/3
mailto:semionparnes@yahoo.com,semionparnes@yahoo.com,"Адвокат в Хайфе Семен Парнес","Адвокаты, нотариусы (75) ","
				Адвокат в Хайфе Семен Парнес
				ул. Паль-Ям 5, Хайфа				(9-й эт.)				Тел. 052-3709348, 04-8667717				Факс. 04-8667770semionparnes@yahoo.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/3
mailto:evgenymendus@ambulang.com,evgenymendus@ambulang.com,"Бюро переводов в Израиле ""Ambulang Trans""","Адвокаты, нотариусы (75) ","
				Бюро переводов в Израиле ""Ambulang Trans""
				ул. Ахалуц 39, Хайфа								Тел. 077-7510053, 054-6816607, 054-6816608evgenymendus@ambulang.comhttp://ambulang.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/3
mailto:riad@haj-law.com,riad@haj-law.com,"Адвокат по налоговому праву Риад Хадж","Адвокаты, нотариусы (75) ","
				Адвокат по налоговому праву Риад Хадж
				Тель-Авив - Хайфа								Тел. 052-8666848, 077-4701026riad@haj-law.comhttp://haj-law.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/3
mailto:H.Bouskila.Law@gmail.com,H.Bouskila.Law@gmail.com,"Адвокат (экономист) Ханна Бускила","Адвокаты, нотариусы (75) ","
				Адвокат (экономист) Ханна Бускила
				ул. ХаЦионут 6, Кирьят-Ата								Тел. 04-8440252				Факс. 04-8436698H.Bouskila.Law@gmail.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/3
mailto:marinabor@bezeqint.net,marinabor@bezeqint.net,"Адвокат - нотариус в Хайфе Марина Борода","Адвокаты, нотариусы (75) ","
				Адвокат - нотариус в Хайфе Марина Борода
				ул. Шиват Цион 21, Хайфа				(2-й эт.)				Тел. 04-8620478, 052-8322826marinabor@bezeqint.nethttp://borodalaw.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/3
mailto:salimwakeem@walla.com,salimwakeem@walla.com,"Адвокатская контора ""Салим Ваким""","Адвокаты, нотариусы (75) ","
				Адвокатская контора ""Салим Ваким""
				ул. ХаГаатон 1, Нагария								Тел. 04-9921220, 04-9510668, 052-6394703				Факс. 04-9925754salimwakeem@walla.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/3
mailto:glideri@netvision.net.il,glideri@netvision.net.il,"Адвокат - нотариус в Хайфе Игорь Глидер","Адвокаты, нотариусы (75) ","
				Адвокат - нотариус в Хайфе Игорь Глидер
				ул. Шмарьяу Левин 24, Хайфа								Тел. 04-8621217, 052-6634263				Факс. 04-8660038glideri@netvision.net.ilhttp://infolaw.co.il",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/3
mailto:fineirena@gmail.com,fineirena@gmail.com,"Нотариус и адвокат в Реховоте Ирена Файн","Адвокаты, нотариусы (75) ","
				Нотариус и адвокат в Реховоте Ирена Файн
				ул. Ахад Ха'Ам 1, Реховот								Тел. 072-2595557, 050-304-8949fineirena@gmail.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/3
mailto:shadyadv@yahoo.com,shadyadv@yahoo.com,"Адвокат в Крайот Шади Андреус","Адвокаты, нотариусы (75) ","
				Адвокат в Крайот Шади Андреус
				ул. Гошен 31, Кирьят Моцкин								Тел. 04-8715819, 052-2827298				Факс. 04-8738162shadyadv@yahoo.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/3
mailto:kanerilana@gmail.com,kanerilana@gmail.com,"Адвокат-нотариус в Нагарии Илана Канер","Адвокаты, нотариусы (75) ","
				Адвокат-нотариус в Нагарии Илана Канер
				ул. Лохамей ХаГетаот 12/12, Нагария								Тел. 04-9510618, 054-3072799kanerilana@gmail.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/3
mailto:alerner.adv@gmail.com,alerner.adv@gmail.com,"Адвокат в Беэр-Шеве Арие Лернер","Адвокаты, нотариусы (75) ","
				Адвокат в Беэр-Шеве Арие Лернер
				ул. Герцель 91, Беэр-Шева				(4-й эт.)				Тел. 072-2333460, 054-6342329				Факс. 072-2447008alerner.adv@gmail.comhttp://alerner-law.co.il",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/3
mailto:gila@einy-law.co.il,gila@einy-law.co.il,"Адвокат - медиатор Гила Эйни","Адвокаты, нотариусы (75) ","
				Адвокат - медиатор Гила Эйни
				ул. Харув 83, Модиин								Тел. 08-9573333, 052-8342566				Факс. 08-9573332gila@einy-law.co.ilhttp://gila.einy-law.co.il",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/3
mailto:sagy@shmuely-law.co.il,sagy@shmuely-law.co.il,"Адвокат Саги Рубински - врачебная халатность","Адвокаты, нотариусы (75) ","
				Адвокат Саги Рубински - врачебная халатность
				ул. Шмарьяху Левин 24, Хайфа				(2-й эт.)				Тел. 04-8674875, 04-8674876				Факс. 04-8674450sagy@shmuely-law.co.ilhttp://shmuely-law.co.il",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/3
mailto:aska1@bezeqint.net,aska1@bezeqint.net,"Адвокат-нотариус в Холоне Алекс Капустянский","Адвокаты, нотариусы (75) ","
				Адвокат-нотариус в Холоне Алекс Капустянский
				ул. Соколов 70а, Холон								Тел. 03-5012607				Факс. 03-5013134 aska1@bezeqint.net",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/3
mailto:advocatisrael@gmail.com,advocatisrael@gmail.com,"Адвокат-нотариус в Хайфе Таня Левин-Кфир","Адвокаты, нотариусы (75) ","
				Адвокат-нотариус в Хайфе Таня Левин-Кфир
				ул. Ацмаут 37, Хайфа								Тел. 04-8664531advocatisrael@gmail.comhttp://advocat-v-haife.co.il",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/3
mailto:irina8622878@gmail.com,irina8622878@gmail.com,"Адвокат - нотариус в Хайфе Ирина Авербух","Адвокаты, нотариусы (75) ","
				Адвокат - нотариус в Хайфе Ирина Авербух
				Ул. Нордау 21, Хайфа								Тел. 04-8622878, 04-8624406, 054-6211008				Факс. 04-8665396irina8622878@gmail.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/3
mailto:wortmanlaw@gmail.com,wortmanlaw@gmail.com,"Адвокат в Хайфе Марк Вортман","Адвокаты, нотариусы (75) ","
				Адвокат в Хайфе Марк Вортман
				ул. Паль Ям 2, Хайфа				(1-й эт.)				Тел. 054-5515431, 077-7006291				Факс. 153-4-8226201wortmanlaw@gmail.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/4
mailto:stave_y@netvision.net.il,stave_y@netvision.net.il,"Адвокат в Хайфе Йохав Стейв","Адвокаты, нотариусы (75) ","
				Адвокат в Хайфе Йохав Стейв
				ул. Маале ХаШихрур 19, Хайфа								Тел. 04-8624040, 050-5340270				Факс. 04-8626888stave_y@netvision.net.ilhttp://yaav_stave.zapages.co.il",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/4
mailto:allmedkaplan@gmail.com,allmedkaplan@gmail.com,"Экспертные медицинские заключения для суда","Адвокаты, нотариусы (75) ","
				Экспертные медицинские заключения для суда
				ул. Голда Меир 3, Нес Циона								Тел. 08-9368895, 055-2220700				Факс. 08-8606110allmedkaplan@gmail.comhttp://allmed.co.il",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/4
,,"Адвокат в Нагарии Рами Джириес","Адвокаты, нотариусы (75) ","
				Адвокат в Нагарии Рами Джириес
				ул. ХаГаатон 29, Нагария								Тел. 054-5201575, 04-9001588				Факс. 04-9001589",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/4
mailto:taavura.adv@gmail.com,taavura.adv@gmail.com,"Адвокат в Хайфе Ольга Шац Авербах","Адвокаты, нотариусы (75) ","
				Адвокат в Хайфе Ольга Шац Авербах
				ул. Паль Ям 16, Хайфа				(11-й эт.)				Тел. 054-5601850, 04-8677474taavura.adv@gmail.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/4
mailto:naimlaw@zahav.net.il,naimlaw@zahav.net.il,"Адвокат-нотариус в Нагарии Наим М. Нахла","Адвокаты, нотариусы (75) ","
				Адвокат-нотариус в Нагарии Наим М. Нахла
				ул. ХаГаатон 20, Нагария				(2-й этаж)				Тел. 04-9000166, 050-5592510				Факс. 057-7974874naimlaw@zahav.net.il",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/4
mailto:blanga.law.firm@gmail.com,blanga.law.firm@gmail.com,"Адвокат в Нагарии Иешуа Баланга","Адвокаты, нотариусы (75) ","
				Адвокат в Нагарии Иешуа Баланга
				Ул. Лохамей ХаГетаот 12/11, Нагария				(2-й эт.)				Тел. 077-7172983, 052-4735212blanga.law.firm@gmail.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/4
mailto:narkislaw@gmail.com,narkislaw@gmail.com,"Адвокаты в Хайфе Лави и Клугерман","Адвокаты, нотариусы (75) ","
				Адвокаты в Хайфе Лави и Клугерман
				ул. Паль-Ям 16, Хайфа				(7-й эт.)				Тел. 054-6271317, 04-8581441, 052-7454711narkislaw@gmail.comhttp://narkislaw.co.il",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/4
mailto:naembader@gmail.com,naembader@gmail.com,"Адвокат-нотариус в Нагарии Наим Бадер","Адвокаты, нотариусы (75) ","
				Адвокат-нотариус в Нагарии Наим Бадер
				ул. Лохамей ХаГетаот 12/4, Нагария				(2-й эт.)				Тел. 04-9511592				Факс. 04-9517667naembader@gmail.com",http://info24.co.il/coupons/vse-goroda/advokaty-notariusy/4
